res,con,para
2,10,0
4,10,0
2,11,0
7,11,0
2,12,0
7,12,0
2,13,0
2,14,0
2,15,0
2,16,0
7,16,0
2,17,0
2,18,0
2,19,0
7,19,0
10,19,0
11,19,0
12,19,0
13,19,0
14,19,0
15,19,0
16,19,0
17,19,0
19,19,0
20,19,0
29,19,0
30,19,0
31,19,0
32,19,0
33,19,0
34,19,0
35,19,0
36,19,0
37,19,0
38,19,0
52,19,0
55,19,0
56,19,0
129,19,0
130,19,0
131,19,0
132,19,0
133,19,0
134,19,0
135,19,0
136,19,0
137,19,0
139,19,0
140,19,0
143,19,0
144,19,0
145,19,0
146,19,0
147,19,0
148,19,0
149,19,0
150,19,0
151,19,0
152,19,0
153,19,0
154,19,0
155,19,0
156,19,0
157,19,0
159,19,0
160,19,0
161,19,0
162,19,0
163,19,0
164,19,0
2,20,0
7,20,0
10,20,0
11,20,0
12,20,0
13,20,0
14,20,0
15,20,0
16,20,0
17,20,0
19,20,0
20,20,0
29,20,0
30,20,0
31,20,0
32,20,0
33,20,0
34,20,0
35,20,0
36,20,0
37,20,0
38,20,0
52,20,0
55,20,0
56,20,0
129,20,0
130,20,0
131,20,0
132,20,0
133,20,0
134,20,0
135,20,0
136,20,0
137,20,0
138,20,0
139,20,0
140,20,0
143,20,0
144,20,0
145,20,0
146,20,0
147,20,0
148,20,0
149,20,0
150,20,0
151,20,0
152,20,0
153,20,0
154,20,0
155,20,0
156,20,0
157,20,0
158,20,0
159,20,0
160,20,0
161,20,0
162,20,0
163,20,0
164,20,0
68,21,0
2,22,0
11,22,0
12,22,0
13,22,0
14,22,0
15,22,0
16,22,0
17,22,0
19,22,0
20,22,0
29,22,0
30,22,0
31,22,0
32,22,0
33,22,0
34,22,0
35,22,0
36,22,0
37,22,0
38,22,0
52,22,0
128,22,0
129,22,0
130,22,0
131,22,0
132,22,0
133,22,0
134,22,0
135,22,0
136,22,0
137,22,0
138,22,0
139,22,0
140,22,0
142,22,0
143,22,0
144,22,0
145,22,0
146,22,0
147,22,0
148,22,0
149,22,0
150,22,0
151,22,0
152,22,0
153,22,0
154,22,0
155,22,0
156,22,0
157,22,0
158,22,0
159,22,0
160,22,0
161,22,0
162,22,0
163,22,0
164,22,0
2,23,0
11,24,0
12,24,0
13,24,0
14,24,0
15,24,0
16,24,0
17,24,0
18,24,0
19,24,0
20,24,0
2,25,0
4,25,0
7,25,0
129,25,0
130,25,0
131,25,0
132,25,0
134,25,0
135,25,0
136,25,0
139,25,0
140,25,0
143,25,0
144,25,0
146,25,0
149,25,0
152,25,0
153,25,0
154,25,0
155,25,0
156,25,0
157,25,0
158,25,0
159,25,0
160,25,0
161,25,0
162,25,0
163,25,0
164,25,0
2,26,0
2,27,0
54,28,0
55,28,0
4,29,0
7,29,0
11,29,0
12,29,0
13,29,0
14,29,0
15,29,0
16,29,0
17,29,0
19,29,0
20,29,0
29,29,0
30,29,0
31,29,0
32,29,0
33,29,0
34,29,0
35,29,0
36,29,0
37,29,0
38,29,0
129,29,0
130,29,0
131,29,0
132,29,0
133,29,0
134,29,0
135,29,0
136,29,0
137,29,0
138,29,0
139,29,0
140,29,0
142,29,0
143,29,0
144,29,0
145,29,0
146,29,0
147,29,0
148,29,0
149,29,0
150,29,0
151,29,0
152,29,0
153,29,0
154,29,0
155,29,0
156,29,0
157,29,0
158,29,0
159,29,0
160,29,0
161,29,0
162,29,0
163,29,0
164,29,0
4,30,0
7,30,0
11,30,0
12,30,0
13,30,0
14,30,0
15,30,0
16,30,0
17,30,0
19,30,0
20,30,0
29,30,0
30,30,0
31,30,0
32,30,0
33,30,0
34,30,0
35,30,0
36,30,0
37,30,0
38,30,0
129,30,0
130,30,0
131,30,0
132,30,0
133,30,0
134,30,0
135,30,0
136,30,0
137,30,0
138,30,0
139,30,0
140,30,0
142,30,0
143,30,0
144,30,0
145,30,0
146,30,0
147,30,0
148,30,0
149,30,0
150,30,0
151,30,0
152,30,0
153,30,0
154,30,0
155,30,0
156,30,0
157,30,0
158,30,0
159,30,0
160,30,0
161,30,0
162,30,0
163,30,0
164,30,0
7,31,0
2,32,0
7,32,0
11,32,0
12,32,0
13,32,0
14,32,0
15,32,0
16,32,0
17,32,0
19,32,0
20,32,0
29,32,0
30,32,0
31,32,0
32,32,0
33,32,0
34,32,0
35,32,0
36,32,0
37,32,0
38,32,0
2,33,0
4,33,0
7,33,0
129,33,0
130,33,0
131,33,0
132,33,0
134,33,0
135,33,0
136,33,0
137,33,0
138,33,0
139,33,0
140,33,0
142,33,0
143,33,0
144,33,0
145,33,0
146,33,0
147,33,0
148,33,0
149,33,0
151,33,0
152,33,0
153,33,0
154,33,0
155,33,0
156,33,0
157,33,0
158,33,0
159,33,0
160,33,0
161,33,0
162,33,0
163,33,0
164,33,0
4,34,0
7,34,0
129,34,0
130,34,0
131,34,0
132,34,0
133,34,0
134,34,0
135,34,0
136,34,0
137,34,0
138,34,0
139,34,0
140,34,0
142,34,0
143,34,0
144,34,0
145,34,0
146,34,0
147,34,0
148,34,0
149,34,0
150,34,0
151,34,0
152,34,0
153,34,0
154,34,0
155,34,0
156,34,0
157,34,0
158,34,0
159,34,0
160,34,0
161,34,0
162,34,0
163,34,0
164,34,0
4,35,0
7,35,0
11,35,0
12,35,0
13,35,0
14,35,0
15,35,0
16,35,0
17,35,0
19,35,0
20,35,0
29,35,0
30,35,0
31,35,0
32,35,0
33,35,0
34,35,0
35,35,0
36,35,0
37,35,0
38,35,0
128,35,0
129,35,0
130,35,0
131,35,0
132,35,0
133,35,0
134,35,0
135,35,0
136,35,0
137,35,0
138,35,0
139,35,0
140,35,0
142,35,0
143,35,0
144,35,0
145,35,0
146,35,0
147,35,0
148,35,0
149,35,0
150,35,0
151,35,0
152,35,0
153,35,0
154,35,0
155,35,0
156,35,0
157,35,0
158,35,0
159,35,0
160,35,0
161,35,0
162,35,0
163,35,0
164,35,0
7,36,0
11,36,0
12,36,0
13,36,0
14,36,0
15,36,0
16,36,0
17,36,0
19,36,0
20,36,0
29,36,0
30,36,0
31,36,0
32,36,0
33,36,0
34,36,0
35,36,0
36,36,0
37,36,0
38,36,0
129,36,0
130,36,0
131,36,0
132,36,0
134,36,0
135,36,0
136,36,0
137,36,0
138,36,0
139,36,0
140,36,0
142,36,0
143,36,0
144,36,0
145,36,0
146,36,0
147,36,0
149,36,0
152,36,0
153,36,0
154,36,0
155,36,0
156,36,0
157,36,0
159,36,0
160,36,0
161,36,0
162,36,0
163,36,0
164,36,0
7,37,0
129,37,0
130,37,0
131,37,0
132,37,0
134,37,0
135,37,0
136,37,0
138,37,0
139,37,0
140,37,0
142,37,0
143,37,0
144,37,0
145,37,0
146,37,0
147,37,0
149,37,0
152,37,0
153,37,0
154,37,0
155,37,0
156,37,0
157,37,0
159,37,0
160,37,0
161,37,0
162,37,0
163,37,0
164,37,0
7,38,0
11,38,0
12,38,0
13,38,0
14,38,0
15,38,0
16,38,0
17,38,0
19,38,0
20,38,0
29,38,0
30,38,0
31,38,0
32,38,0
33,38,0
34,38,0
35,38,0
36,38,0
37,38,0
38,38,0
2,39,0
4,39,0
3,40,0
2,41,0
4,41,0
6,41,0
2,42,0
4,42,0
2,43,0
4,43,0
6,43,0
2,44,0
4,44,0
3,45,0
1,46,0
2,46,0
41,46,0
2,47,0
29,48,0
34,48,0
36,48,0
37,48,0
2,49,0
3,49,0
81,49,0
82,49,0
83,49,0
84,49,0
85,49,0
86,49,0
87,49,0
88,49,0
89,49,0
90,49,0
91,49,0
92,49,0
93,49,0
94,49,0
95,49,0
96,49,0
97,49,0
98,49,0
99,49,0
100,49,0
101,49,0
102,49,0
103,49,0
104,49,0
105,49,0
106,49,0
107,49,0
108,49,0
109,49,0
110,49,0
111,49,0
112,49,0
113,49,0
114,49,0
115,49,0
116,49,0
65,50,0
67,50,0
2,51,0
3,51,0
81,51,0
82,51,0
83,51,0
84,51,0
85,51,0
86,51,0
87,51,0
88,51,0
89,51,0
90,51,0
91,51,0
92,51,0
93,51,0
94,51,0
95,51,0
96,51,0
97,51,0
98,51,0
99,51,0
100,51,0
101,51,0
102,51,0
103,51,0
104,51,0
105,51,0
106,51,0
107,51,0
108,51,0
109,51,0
110,51,0
111,51,0
112,51,0
113,51,0
114,51,0
115,51,0
116,51,0
7,52,0
1,53,0
2,53,0
4,53,0
2,54,0
4,54,0
6,54,0
2,55,0
2,56,0
7,56,0
2,57,0
3,57,0
2,58,0
4,58,0
2,59,0
7,59,0
2,60,0
7,60,0
10,60,0
11,60,0
12,60,0
13,60,0
14,60,0
15,60,0
16,60,0
17,60,0
19,60,0
20,60,0
29,60,0
30,60,0
31,60,0
32,60,0
33,60,0
34,60,0
35,60,0
36,60,0
37,60,0
38,60,0
52,60,0
56,60,0
1,61,0
2,61,0
3,61,0
4,61,0
6,61,0
11,61,0
12,61,0
13,61,0
14,61,0
15,61,0
16,61,0
17,61,0
18,61,0
19,61,0
20,61,0
22,61,0
24,61,0
25,61,0
28,61,0
29,61,0
30,61,0
31,61,0
32,61,0
33,61,0
34,61,0
35,61,0
36,61,0
37,61,0
38,61,0
39,61,0
41,61,0
43,61,0
47,61,0
48,61,0
53,61,0
1,62,0
2,62,0
3,62,0
4,62,0
6,62,0
8,62,0
11,62,0
12,62,0
13,62,0
14,62,0
15,62,0
16,62,0
17,62,0
18,62,0
19,62,0
20,62,0
22,62,0
24,62,0
25,62,0
28,62,0
29,62,0
30,62,0
31,62,0
32,62,0
33,62,0
34,62,0
35,62,0
36,62,0
37,62,0
38,62,0
39,62,0
41,62,0
42,62,0
43,62,0
44,62,0
45,62,0
46,62,0
47,62,0
48,62,0
53,62,0
54,62,0
61,62,0
63,62,0
2,63,0
3,63,0
4,63,0
6,63,0
10,64,0
11,64,0
12,64,0
13,64,0
14,64,0
15,64,0
16,64,0
17,64,0
19,64,0
20,64,0
29,64,0
30,64,0
31,64,0
32,64,0
33,64,0
34,64,0
35,64,0
36,64,0
37,64,0
38,64,0
52,64,0
56,64,0
128,64,0
129,64,0
130,64,0
131,64,0
132,64,0
133,64,0
134,64,0
135,64,0
136,64,0
137,64,0
138,64,0
139,64,0
140,64,0
142,64,0
143,64,0
144,64,0
145,64,0
146,64,0
147,64,0
148,64,0
149,64,0
150,64,0
151,64,0
152,64,0
153,64,0
154,64,0
155,64,0
156,64,0
157,64,0
158,64,0
159,64,0
160,64,0
161,64,0
162,64,0
163,64,0
164,64,0
2,65,0
6,65,0
10,65,0
11,65,0
12,65,0
13,65,0
14,65,0
15,65,0
16,65,0
17,65,0
19,65,0
20,65,0
29,65,0
30,65,0
31,65,0
32,65,0
33,65,0
34,65,0
35,65,0
36,65,0
37,65,0
38,65,0
52,65,0
56,65,0
10,66,0
11,66,0
12,66,0
13,66,0
14,66,0
15,66,0
16,66,0
17,66,0
19,66,0
20,66,0
29,66,0
30,66,0
31,66,0
32,66,0
33,66,0
34,66,0
35,66,0
36,66,0
37,66,0
38,66,0
54,66,0
55,66,0
56,66,0
58,66,0
128,66,0
129,66,0
130,66,0
131,66,0
132,66,0
133,66,0
134,66,0
135,66,0
137,66,0
138,66,0
142,66,0
143,66,0
144,66,0
145,66,0
146,66,0
147,66,0
148,66,0
150,66,0
151,66,0
153,66,0
154,66,0
157,66,0
158,66,0
160,66,0
163,66,0
164,66,0
6,67,0
11,67,0
12,67,0
13,67,0
14,67,0
15,67,0
16,67,0
17,67,0
18,67,0
19,67,0
20,67,0
24,67,0
25,67,0
28,67,0
29,67,0
30,67,0
31,67,0
32,67,0
33,67,0
34,67,0
35,67,0
36,67,0
37,67,0
38,67,0
39,67,0
40,67,0
41,67,0
43,67,0
47,67,0
48,67,0
49,67,0
51,67,0
52,67,0
53,67,0
54,67,0
55,67,0
56,67,0
58,67,0
128,67,0
129,67,0
130,67,0
131,67,0
132,67,0
133,67,0
135,67,0
137,67,0
138,67,0
142,67,0
143,67,0
144,67,0
145,67,0
146,67,0
147,67,0
148,67,0
150,67,0
151,67,0
153,67,0
154,67,0
158,67,0
160,67,0
163,67,0
164,67,0
6,68,0
53,68,0
54,68,0
55,68,0
57,68,0
58,68,0
59,68,0
60,68,0
61,68,0
62,68,0
63,68,0
66,68,0
67,68,0
69,68,0
72,68,0
78,68,0
128,68,0
137,68,0
138,68,0
145,68,0
147,68,0
148,68,0
151,68,0
6,69,0
54,69,0
55,69,0
128,69,0
129,69,0
130,69,0
131,69,0
132,69,0
133,69,0
134,69,0
135,69,0
137,69,0
138,69,0
142,69,0
143,69,0
144,69,0
145,69,0
146,69,0
147,69,0
148,69,0
149,69,0
150,69,0
151,69,0
152,69,0
153,69,0
154,69,0
155,69,0
156,69,0
157,69,0
158,69,0
159,69,0
160,69,0
161,69,0
163,69,0
164,69,0
54,70,0
55,70,0
58,70,0
128,70,0
130,70,0
131,70,0
133,70,0
137,70,0
138,70,0
145,70,0
147,70,0
148,70,0
150,70,0
151,70,0
156,70,0
11,71,0
15,71,0
16,71,0
17,71,0
19,71,0
20,71,0
23,71,0
24,71,0
25,71,0
26,71,0
28,71,0
29,71,0
30,71,0
33,71,0
34,71,0
35,71,0
36,71,0
37,71,0
54,71,0
55,71,0
57,71,0
59,71,0
60,71,0
61,71,0
62,71,0
63,71,0
66,71,0
67,71,0
69,71,0
72,71,0
78,71,0
128,71,0
130,71,0
131,71,0
133,71,0
137,71,0
138,71,0
145,71,0
147,71,0
148,71,0
150,71,0
151,71,0
156,71,0
54,72,0
55,72,0
58,72,0
128,72,0
129,72,0
130,72,0
131,72,0
132,72,0
133,72,0
134,72,0
135,72,0
137,72,0
138,72,0
142,72,0
143,72,0
144,72,0
145,72,0
146,72,0
147,72,0
148,72,0
150,72,0
151,72,0
153,72,0
154,72,0
157,72,0
158,72,0
160,72,0
163,72,0
164,72,0
29,73,0
30,73,0
33,73,0
34,73,0
35,73,0
36,73,0
37,73,0
59,73,0
60,73,0
61,73,0
62,73,0
63,73,0
64,73,0
65,73,0
66,73,0
67,73,0
69,73,0
71,73,0
72,73,0
74,73,0
77,73,0
78,73,0
54,74,0
57,74,0
61,74,0
62,74,0
64,74,0
66,74,0
67,74,0
69,74,0
70,74,0
71,74,0
72,74,0
74,74,0
75,74,0
77,74,0
78,74,0
128,74,0
130,74,0
131,74,0
133,74,0
137,74,0
138,74,0
145,74,0
147,74,0
148,74,0
150,74,0
151,74,0
156,74,0
15,75,0
24,75,0
26,75,0
28,75,0
29,75,0
30,75,0
33,75,0
34,75,0
35,75,0
36,75,0
37,75,0
54,75,0
55,75,0
57,75,0
59,75,0
60,75,0
61,75,0
62,75,0
63,75,0
66,75,0
67,75,0
69,75,0
72,75,0
78,75,0
128,75,0
130,75,0
131,75,0
133,75,0
137,75,0
138,75,0
145,75,0
147,75,0
148,75,0
150,75,0
151,75,0
156,75,0
17,76,0
23,76,0
29,76,0
33,76,0
34,76,0
35,76,0
36,76,0
37,76,0
59,76,0
60,76,0
61,76,0
62,76,0
63,76,0
54,77,0
55,77,0
61,77,0
62,77,0
66,77,0
68,77,0
72,77,0
78,77,0
128,77,0
130,77,0
131,77,0
133,77,0
137,77,0
138,77,0
145,77,0
147,77,0
148,77,0
150,77,0
151,77,0
156,77,0
11,78,0
16,78,0
17,78,0
54,78,0
55,78,0
58,78,0
128,78,0
129,78,0
130,78,0
131,78,0
132,78,0
133,78,0
134,78,0
135,78,0
137,78,0
138,78,0
142,78,0
143,78,0
144,78,0
145,78,0
146,78,0
147,78,0
148,78,0
150,78,0
151,78,0
153,78,0
154,78,0
157,78,0
158,78,0
160,78,0
163,78,0
164,78,0
29,79,0
33,79,0
34,79,0
35,79,0
36,79,0
37,79,0
59,79,0
60,79,0
61,79,0
62,79,0
63,79,0
66,79,0
72,79,0
78,79,0
29,80,0
33,80,0
34,80,0
35,80,0
36,80,0
37,80,0
59,80,0
60,80,0
61,80,0
62,80,0
63,80,0
66,80,0
72,80,0
78,80,0
11,81,0
12,81,0
13,81,0
14,81,0
15,81,0
16,81,0
17,81,0
18,81,0
19,81,0
20,81,0
24,81,0
25,81,0
28,81,0
42,81,0
44,81,0
46,81,0
49,81,0
51,81,0
53,81,0
58,81,0
66,81,0
67,81,0
72,81,0
78,81,0
11,82,0
12,82,0
13,82,0
14,82,0
15,82,0
16,82,0
17,82,0
18,82,0
19,82,0
20,82,0
24,82,0
25,82,0
28,82,0
29,82,0
30,82,0
31,82,0
32,82,0
33,82,0
34,82,0
35,82,0
38,82,0
42,82,0
44,82,0
46,82,0
53,82,0
54,82,0
57,82,0
61,82,0
62,82,0
63,82,0
66,82,0
72,82,0
78,82,0
61,83,0
62,83,0
63,83,0
64,83,0
65,83,0
66,83,0
67,83,0
68,83,0
69,83,0
70,83,0
71,83,0
72,83,0
74,83,0
77,83,0
78,83,0
39,84,0
41,84,0
42,84,0
43,84,0
44,84,0
46,84,0
54,84,0
57,84,0
61,84,0
62,84,0
63,84,0
6,85,0
8,85,0
9,85,0
22,85,0
39,85,0
41,85,0
43,85,0
47,85,0
48,85,0
53,85,0
54,85,0
29,86,0
30,86,0
32,86,0
33,86,0
34,86,0
35,86,0
39,86,0
41,86,0
42,86,0
43,86,0
44,86,0
46,86,0
47,86,0
48,86,0
54,86,0
61,86,0
62,86,0
63,86,0
1,87,0
29,87,0
30,87,0
32,87,0
33,87,0
34,87,0
35,87,0
36,87,0
37,87,0
61,87,0
62,87,0
64,87,0
65,87,0
67,87,0
7,88,0
8,88,0
39,88,0
41,88,0
43,88,0
47,88,0
48,88,0
49,88,0
51,88,0
53,88,0
54,88,0
39,89,0
41,89,0
42,89,0
43,89,0
44,89,0
45,89,0
46,89,0
47,89,0
48,89,0
53,89,0
54,89,0
